Epoch: 1
Loss: 0.5909494161605835, Accuracy: 21.10333333333333%
Loss: 0.5546175837516785, Accuracy: 21.19333333333333%
Loss: 0.6734106540679932, Accuracy: 21.275%
Loss: 0.5468940734863281, Accuracy: 21.358333333333334%
Loss: 0.4099976122379303, Accuracy: 21.456666666666667%
Loss: 0.44053399562835693, Accuracy: 21.548333333333332%
Loss: 0.5410110950469971, Accuracy: 21.64666666666667%
Loss: 0.5593124628067017, Accuracy: 21.731666666666666%
Loss: 0.7054391503334045, Accuracy: 21.813333333333333%
Loss: 0.7158279418945312, Accuracy: 21.895%
Loss: 0.8242840766906738, Accuracy: 21.968333333333334%
Loss: 0.5438664555549622, Accuracy: 22.058333333333334%
Loss: 0.8963205218315125, Accuracy: 22.131666666666668%
Loss: 0.49596959352493286, Accuracy: 22.225%
Loss: 0.6082829833030701, Accuracy: 22.313333333333333%
Loss: 0.5339952707290649, Accuracy: 22.4%
Loss: 0.5159246325492859, Accuracy: 22.491666666666667%
Loss: 0.5607872009277344, Accuracy: 22.573333333333334%
Loss: 0.6309973001480103, Accuracy: 22.66%
Loss: 0.4728756546974182, Accuracy: 22.753333333333334%
Loss: 0.681567907333374, Accuracy: 22.836666666666666%
Loss: 0.6798813939094543, Accuracy: 22.921666666666667%
Loss: 0.7548216581344604, Accuracy: 23.005%
Loss: 0.7500466108322144, Accuracy: 23.091666666666665%
Loss: 0.7711246013641357, Accuracy: 23.173333333333332%
Loss: 0.6908639669418335, Accuracy: 23.256666666666668%
Loss: 0.5357084274291992, Accuracy: 23.35%
Loss: 0.5307492017745972, Accuracy: 23.441666666666666%
Loss: 0.4731252193450928, Accuracy: 23.535%
Loss: 0.4450198709964752, Accuracy: 23.63%
Loss: 0.6414440274238586, Accuracy: 23.713333333333335%
Loss: 0.7541502714157104, Accuracy: 23.795%
Loss: 0.42076170444488525, Accuracy: 23.893333333333334%
Loss: 0.7460067868232727, Accuracy: 23.976666666666667%
Loss: 0.6420190334320068, Accuracy: 24.061666666666667%
Loss: 0.5010959506034851, Accuracy: 24.153333333333332%
Loss: 0.5344420075416565, Accuracy: 24.246666666666666%
Loss: 0.31448715925216675, Accuracy: 24.348333333333333%
Loss: 0.44271180033683777, Accuracy: 24.44333333333333%
Loss: 0.3963421583175659, Accuracy: 24.535%
Loss: 0.5021417140960693, Accuracy: 24.621666666666666%
Loss: 0.5311262607574463, Accuracy: 24.711666666666666%
Loss: 0.7889440655708313, Accuracy: 24.791666666666668%
Loss: 0.6547186374664307, Accuracy: 24.88%
Loss: 0.6319789290428162, Accuracy: 24.968333333333334%
Loss: 0.5921159982681274, Accuracy: 25.055%
Loss: 0.3581518530845642, Accuracy: 25.151666666666667%
Loss: 0.5422676801681519, Accuracy: 25.245%
Loss: 1.028473138809204, Accuracy: 25.30666666666667%
Loss: 0.8428667187690735, Accuracy: 25.381666666666668%
Loss: 0.7951081991195679, Accuracy: 25.466666666666665%
Loss: 0.5144400000572205, Accuracy: 25.56%
Loss: 0.5452513098716736, Accuracy: 25.64666666666667%
Loss: 0.5275959968566895, Accuracy: 25.736666666666668%
Loss: 0.45231398940086365, Accuracy: 25.826666666666668%
Loss: 0.3922029137611389, Accuracy: 25.923333333333332%
Loss: 0.5918951630592346, Accuracy: 26.008333333333333%
Loss: 0.7313436269760132, Accuracy: 26.09%
Loss: 0.5557514429092407, Accuracy: 26.176666666666666%
Loss: 0.7054178714752197, Accuracy: 26.256666666666668%
Loss: 0.5265709757804871, Accuracy: 26.346666666666668%
Loss: 0.5362328290939331, Accuracy: 26.43%
Loss: 0.4804668426513672, Accuracy: 26.52%
Loss: 0.6962090134620667, Accuracy: 26.606666666666666%
Loss: 0.5399721264839172, Accuracy: 26.688333333333333%
Loss: 0.5750408172607422, Accuracy: 26.778333333333332%
Loss: 0.6858900189399719, Accuracy: 26.866666666666667%
Loss: 0.9022046327590942, Accuracy: 26.951666666666668%
Loss: 0.5196890830993652, Accuracy: 27.043333333333333%
Loss: 0.6785917282104492, Accuracy: 27.128333333333334%
Loss: 0.4954361617565155, Accuracy: 27.225%
Loss: 0.6312432885169983, Accuracy: 27.313333333333333%
Loss: 0.6961513161659241, Accuracy: 27.39666666666667%
Loss: 0.562312126159668, Accuracy: 27.488333333333333%
Loss: 0.581632673740387, Accuracy: 27.576666666666668%
Loss: 0.7097749710083008, Accuracy: 27.663333333333334%
Loss: 0.8165562748908997, Accuracy: 27.741666666666667%
Loss: 0.5391107797622681, Accuracy: 27.83%
Loss: 0.47466734051704407, Accuracy: 27.921666666666667%
Loss: 0.6646807193756104, Accuracy: 28.005%
Loss: 0.6771580576896667, Accuracy: 28.086666666666666%
Loss: 0.7138246893882751, Accuracy: 28.171666666666667%
Loss: 0.7087054252624512, Accuracy: 28.255%
Loss: 0.7234004735946655, Accuracy: 28.34%
Loss: 0.693116307258606, Accuracy: 28.421666666666667%
Loss: 0.4406907260417938, Accuracy: 28.516666666666666%
Loss: 0.6579013466835022, Accuracy: 28.6%
Loss: 0.5531958937644958, Accuracy: 28.688333333333333%
Loss: 0.36757534742355347, Accuracy: 28.785%
Loss: 0.7480214834213257, Accuracy: 28.865%
Loss: 0.576087236404419, Accuracy: 28.951666666666668%
Loss: 0.49018824100494385, Accuracy: 29.043333333333333%
Loss: 0.6079765558242798, Accuracy: 29.131666666666668%
Loss: 0.38883963227272034, Accuracy: 29.223333333333333%
Loss: 0.40852901339530945, Accuracy: 29.316666666666666%
Loss: 0.48509928584098816, Accuracy: 29.408333333333335%
Loss: 0.6339981555938721, Accuracy: 29.493333333333332%
Loss: 0.5728945732116699, Accuracy: 29.585%
Loss: 0.4567563533782959, Accuracy: 29.68%
Loss: 0.5202404260635376, Accuracy: 29.77%
Loss: 0.7607269287109375, Accuracy: 29.856666666666666%
Loss: 0.5256826281547546, Accuracy: 29.948333333333334%
Loss: 0.5773817896842957, Accuracy: 30.035%
Loss: 0.5489534139633179, Accuracy: 30.125%
Loss: 0.42131271958351135, Accuracy: 30.221666666666668%
Loss: 0.41379597783088684, Accuracy: 30.32%
Loss: 0.43729686737060547, Accuracy: 30.415%
Loss: 0.5523682832717896, Accuracy: 30.503333333333334%
Loss: 0.579355001449585, Accuracy: 30.591666666666665%
Loss: 0.6496824026107788, Accuracy: 30.68166666666667%
Loss: 0.6438291072845459, Accuracy: 30.765%
Loss: 0.618819534778595, Accuracy: 30.85333333333333%
Loss: 0.655101478099823, Accuracy: 30.938333333333333%
Loss: 0.6979801058769226, Accuracy: 31.026666666666667%
Loss: 0.8138452172279358, Accuracy: 31.10333333333333%
Loss: 0.6347779035568237, Accuracy: 31.18166666666667%
Loss: 0.7240610122680664, Accuracy: 31.263333333333332%
Loss: 0.7328301668167114, Accuracy: 31.356666666666666%
Loss: 0.48189404606819153, Accuracy: 31.448333333333334%
Loss: 0.4120137095451355, Accuracy: 31.538333333333334%
Loss: 0.5461861491203308, Accuracy: 31.625%
Loss: 0.7678728699684143, Accuracy: 31.705%
Loss: 0.6619677543640137, Accuracy: 31.785%
Loss: 0.5162971615791321, Accuracy: 31.873333333333335%
Loss: 0.43366730213165283, Accuracy: 31.97%
